time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-10 00:00:00+00:00,10,4,24,11
2026-08-11 00:00:00+00:00,23,6,19,14
2026-08-12 00:00:00+00:00,3,2,15,11
2026-08-13 00:00:00+00:00,15,5,29,16
2026-08-14 00:00:00+00:00,18,8,20,14
2026-08-15 00:00:00+00:00,3,2,38,19
2026-08-16 00:00:00+00:00,4,3,30,17
2026-08-17 00:00:00+00:00,14,6,34,18
2026-08-18 00:00:00+00:00,23,13,46,18
2026-08-19 00:00:00+00:00,8,7,35,13
2026-08-20 00:00:00+00:00,16,7,29,16
2026-08-21 00:00:00+00:00,11,3,21,15
2026-08-22 00:00:00+00:00,5,4,41,17
2026-08-23 00:00:00+00:00,3,2,18,14
