time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,21,7,18,10
2026-05-29 00:00:00+00:00,31,12,8,7
2026-05-30 00:00:00+00:00,37,14,52,9
2026-05-31 00:00:00+00:00,34,13,8,6
2026-06-01 00:00:00+00:00,21,8,4,3
2026-06-02 00:00:00+00:00,21,9,22,5
2026-06-03 00:00:00+00:00,18,5,5,3
2026-06-04 00:00:00+00:00,27,9,18,12
2026-06-05 00:00:00+00:00,38,12,10,9
2026-06-06 00:00:00+00:00,29,12,13,7
2026-06-07 00:00:00+00:00,33,10,15,10
2026-06-08 00:00:00+00:00,22,6,13,7
2026-06-09 00:00:00+00:00,24,7,10,8
2026-06-10 00:00:00+00:00,24,7,14,8
