url_path,views_total,views_unique
/hcmhcs/screenTranslate,130,97
/hcmhcs/screenTranslate/releases/tag/v1.5.2,49,37
/hcmhcs/screenTranslate/releases,13,10
/hcmhcs/screenTranslate/issues,3,2
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,3,2
/hcmhcs/screenTranslate/commit/477c94c271e75d238da5d05942e47e2549a16cd5,2,2
/hcmhcs/screenTranslate/actions,1,1
/hcmhcs/screenTranslate/blob/main/CHANGELOG.md,1,1
/hcmhcs/screenTranslate/blob/main/LICENSE,1,1
/hcmhcs/screenTranslate/blob/main/README.md,1,1
