url_path,views_total,views_unique
/hcmhcs/screenTranslate,140,101
/hcmhcs/screenTranslate/releases/tag/v1.5.2,27,20
/hcmhcs/screenTranslate/releases,6,5
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,3,3
/hcmhcs/screenTranslate/issues,2,2
/hcmhcs/screenTranslate/issues/1,2,2
/hcmhcs/screenTranslate/tree/main/ScreenTranslate/App,2,2
/hcmhcs/screenTranslate/blob/main/.gitignore,1,1
/hcmhcs/screenTranslate/blob/main/ExportOptions.plist,1,1
/hcmhcs/screenTranslate/blob/main/LICENSE,1,1
