url_path,views_total,views_unique
/hcmhcs/screenTranslate,495,245
/hcmhcs/screenTranslate/releases/tag/v1.5.2,71,61
/hcmhcs/screenTranslate/releases/tag/v1.5.3,18,11
/hcmhcs/screenTranslate/releases,13,13
/hcmhcs/screenTranslate/issues,10,7
/hcmhcs/screenTranslate/tree/main/ScreenTranslate,6,4
/hcmhcs/screenTranslate/pulls,6,2
/hcmhcs/screenTranslate/pull/4,4,1
/hcmhcs/screenTranslate/commit/477c94c271e75d238da5d05942e47e2549a16cd5,3,3
/hcmhcs/screenTranslate/commit/d41131bf03f170bed3936384f09b7158bf2bbe2b,3,3
