url_path,views_total,views_unique
/hcmhcs/screenTranslate,128,97
/hcmhcs/screenTranslate/releases/tag/v1.5.2,27,19
/hcmhcs/screenTranslate/releases,6,5
/hcmhcs/screenTranslate/issues,3,3
/hcmhcs/screenTranslate/issues/1,3,3
/hcmhcs/screenTranslate.git,2,2
/hcmhcs/screenTranslate/actions/runs/25359683514,1,1
/hcmhcs/screenTranslate/blob/477c94c271e75d238da5d05942e47e2549a16cd5/CONTRIBUTING.md,1,1
/hcmhcs/screenTranslate/blob/477c94c271e75d238da5d05942e47e2549a16cd5/LICENSE,1,1
/hcmhcs/screenTranslate/blob/main/CONTRIBUTING.md,1,1
