time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-02 00:00:00+00:00,16,8,7,5
2026-07-03 00:00:00+00:00,19,9,15,6
2026-07-04 00:00:00+00:00,8,6,17,12
2026-07-05 00:00:00+00:00,25,11,18,9
2026-07-06 00:00:00+00:00,14,8,11,8
2026-07-07 00:00:00+00:00,12,6,18,11
2026-07-08 00:00:00+00:00,17,5,14,10
2026-07-09 00:00:00+00:00,17,6,14,12
2026-07-10 00:00:00+00:00,11,4,10,7
2026-07-11 00:00:00+00:00,4,3,15,9
2026-07-12 00:00:00+00:00,3,2,13,8
2026-07-13 00:00:00+00:00,24,10,7,6
2026-07-14 00:00:00+00:00,21,10,14,9
2026-07-15 00:00:00+00:00,10,5,17,11
